iteration, total_itterations, numcores, numthreads, time, pi
1,10000000,4,2,18.869154,3.141429
2,10000000,4,2,16.601872,3.141624
3,10000000,4,2,16.754339,3.141081
4,10000000,4,2,19.011475,3.141114
5,10000000,4,2,16.219656,3.141093
6,10000000,4,2,15.899726,3.141228
7,10000000,4,2,16.307852,3.141554
8,10000000,4,2,20.125763,3.142047
9,10000000,4,2,15.149156,3.141725
10,10000000,4,2,16.561594,3.141915
11,10000000,4,2,11.172563,3.141902
12,10000000,4,2,13.236110,3.141698
13,10000000,4,2,18.812635,3.142363
14,10000000,4,2,20.561815,3.141747
15,10000000,4,2,8.259601,3.142040
16,10000000,4,2,14.961549,3.141233
17,10000000,4,2,12.248805,3.141501
18,10000000,4,2,15.113990,3.140787
19,10000000,4,2,19.117964,3.142643
20,10000000,4,2,14.866417,3.141228
1,10000000,4,4,48.642843,3.141522
2,10000000,4,4,45.080873,3.141604
3,10000000,4,4,49.041925,3.141481
4,10000000,4,4,42.474300,3.141349
5,10000000,4,4,49.101312,3.141737
6,10000000,4,4,57.118866,3.141438
7,10000000,4,4,50.934103,3.140931
8,10000000,4,4,43.048620,3.141476
9,10000000,4,4,40.642285,3.141273
10,10000000,4,4,50.413916,3.141914
11,10000000,4,4,47.467936,3.140704
12,10000000,4,4,46.286695,3.141452
13,10000000,4,4,43.866637,3.141632
14,10000000,4,4,47.910804,3.141608
15,10000000,4,4,53.116406,3.141384
16,10000000,4,4,50.684357,3.141493
17,10000000,4,4,48.493095,3.141537
18,10000000,4,4,52.520306,3.141032
19,10000000,4,4,54.864772,3.140973
20,10000000,4,4,51.189882,3.141651
1,10000000,4,8,114.411754,3.141214
2,10000000,4,8,105.755808,3.141491
3,10000000,4,8,115.663519,3.141728
4,10000000,4,8,108.193172,3.141257
5,10000000,4,8,122.266657,3.141472
6,10000000,4,8,117.362544,3.141443
7,10000000,4,8,121.835449,3.141345
8,10000000,4,8,120.885392,3.141700
9,10000000,4,8,113.899442,3.140989
10,10000000,4,8,120.981261,3.141819
11,10000000,4,8,111.648476,3.141194
12,10000000,4,8,113.839836,3.141667
13,10000000,4,8,129.214485,3.141617
14,10000000,4,8,114.507999,3.141405
15,10000000,4,8,102.985595,3.141606
16,10000000,4,8,116.959251,3.141096
17,10000000,4,8,116.278425,3.141453
18,10000000,4,8,106.271406,3.141481
19,10000000,4,8,112.525195,3.141604
20,10000000,4,8,106.896484,3.141824
