iteration, total_itterations, numcores, numthreads, time, pi
1,10000000,2,2,25.522880,3.142294
2,10000000,2,2,21.365014,3.141496
3,10000000,2,2,22.416152,3.141566
4,10000000,2,2,23.115486,3.142503
5,10000000,2,2,23.346785,3.141746
6,10000000,2,2,24.840027,3.142041
7,10000000,2,2,23.487610,3.142104
8,10000000,2,2,25.432024,3.142017
9,10000000,2,2,26.780655,3.141939
10,10000000,2,2,23.505417,3.142084
11,10000000,2,2,27.922227,3.141975
12,10000000,2,2,10.119825,3.141689
13,10000000,2,2,22.800606,3.141070
14,10000000,2,2,26.425532,3.141418
15,10000000,2,2,14.625436,3.142054
16,10000000,2,2,25.927195,3.142036
17,10000000,2,2,27.313451,3.141829
18,10000000,2,2,23.694110,3.141422
19,10000000,2,2,27.243893,3.141106
20,10000000,2,2,24.066060,3.141895
